phrasal verbs (part 1)/фразовые глаголы (часть 1)|Одна из самых непонятных тем в английском - фразовые глаголы. Обычно это обычные глаголы, но с дополнительным предлогом. Этот предлог может полностью изменить значение глагола, поэтому запоминание таких слов не всегда просто. Часть 1.|4
back away|отступать|We {backed away} when we realized we weren't sure we were right|Мы {отступили}, когда поняли, что не уверены в своей правоте
be back|возвращаться|He should {be back} in ten minutes|Он должен {вернуться} через десять минут
be over|завершиться, закончиться|The worst of the storm seemed to {be over}|Казалось, что худшая часть шторма уже {миновала}
blow out|задуть, лопнуть, гасить|You have to {blow out} all the candles or your wish won't come true|Вы должны {задуть} все свечи, иначе ваше желание не сбудется
break up|расставаться, прекращать|They decided to {break up} the partnership|Они решили {разорвать} партнерство
call off|отозвать, отменять|It rained so much that they had to {call off} the soccer game|Дождь был такой сильный, что пришлось {отменить} футбольный матч
calm down|успокоиться, остыть|{Calm down}, there's nothing to worry about|{Успокойтесь}, тут не о чем беспокоиться
carry on|продолжать заниматься чем-либо|{Carry on} working your work while I'm away|{Продолжайте} работать, пока меня не будет
check in|регистрация|Passengers must {check in} at least one hour before departure|Пассажиры должны пройти {регистрацию} не позднее чем за час до вылета
clean up|прибираться|Ann, it's time to {clean up} your room|Энн, пора {навести порядок} в своей комнате
come across|случайно встретить|We've just {come across} an old friend we haven't seen for ages|Мы только что {столкнулись} со старым другом, которого давно не видели
come from|происходить от|Where is that noise {coming from}?|Откуда {исходит} этот шум?
come in|входить, заходить|Do you want to {come in} for a cup of tea?|Не хотите {зайти} на чашечку чая?
count on|рассчитывать на|You can always {count on} me in a crisis situation|Вы всегда можете {рассчитывать на} меня в кризисной ситуации
